frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
2212,1,358.114,327.583,357.236,327.748,-0.878,0.165,0.893,15.6469,0.16054
2213,1,373.681,329.512,373.203,329.733,-0.478,0.221,0.527,16.5598,0.15524
2214,1,387.489,328.139,386.928,328.055,-0.562,-0.084,0.568,17.1584,0.14995
2215,1,398.272,327.828,397.307,328.394,-0.965,0.567,1.119,17.6134,0.14578
2216,1,406.347,326.971,405.466,327.159,-0.882,0.188,0.901,18.0692,0.14311
2217,1,427.192,325.721,426.458,326.093,-0.734,0.372,0.822,19.2926,0.13646
2218,1,438.716,325.325,438.269,325.279,-0.447,-0.046,0.449,19.9608,0.13272
2219,1,449.266,323.545,448.842,324.046,-0.424,0.501,0.657,20.5281,0.12915
2220,1,459.163,317.372,458.921,317.092,-0.242,-0.280,0.370,20.9449,0.12455
2221,1,466.565,310.575,466.238,310.763,-0.327,0.188,0.377,21.1023,0.11906
2222,1,470.425,307.118,470.114,307.280,-0.312,0.162,0.351,21.2192,0.11613
2223,1,476.015,300.943,475.922,301.278,-0.094,0.336,0.348,21.4110,0.10967
2224,1,478.369,296.759,477.939,297.340,-0.430,0.581,0.723,21.4540,0.10620
2225,1,480.822,287.624,481.058,287.912,0.236,0.289,0.373,21.3917,0.09863
2226,1,480.979,279.470,481.090,279.740,0.111,0.270,0.292,21.2160,0.09287
2227,1,480.898,269.915,481.257,269.724,0.359,-0.191,0.406,21.0758,0.08687
2228,1,479.742,261.335,480.319,260.810,0.576,-0.525,0.779,20.8337,0.08091
2229,1,477.312,253.664,477.295,253.892,-0.017,0.228,0.229,20.5011,0.07519
2230,1,476.301,245.282,476.362,244.918,0.061,-0.365,0.370,20.4251,0.06963
2231,1,475.293,237.282,475.581,236.905,0.287,-0.377,0.474,20.3273,0.06409
2232,1,472.335,228.915,472.435,228.757,0.100,-0.158,0.187,20.0403,0.05903
2233,1,467.927,219.986,468.184,219.758,0.257,-0.227,0.343,19.7256,0.05441
2234,1,463.658,211.743,463.736,211.174,0.078,-0.569,0.574,19.4254,0.05019
2235,1,461.468,204.107,461.287,203.657,-0.181,-0.450,0.485,19.3737,0.04656
2236,1,459.693,195.555,459.951,195.173,0.258,-0.382,0.461,19.4290,0.04362
2237,1,455.713,185.712,456.125,185.209,0.412,-0.503,0.650,19.2649,0.04194
2238,1,449.361,175.480,448.981,174.696,-0.380,-0.784,0.871,18.7638,0.04152
2239,1,444.471,165.923,444.000,165.025,-0.471,-0.898,1.014,18.5585,0.04281
2240,1,442.260,158.401,442.129,157.754,-0.131,-0.647,0.660,18.6669,0.04539
2241,1,441.449,153.419,441.273,152.647,-0.176,-0.772,0.791,18.7742,0.04755
2242,1,438.635,142.010,438.525,140.980,-0.109,-1.030,1.036,18.8904,0.05257
2243,1,435.891,136.733,435.552,136.056,-0.338,-0.677,0.757,18.7915,0.05550
2244,1,428.854,126.425,428.455,125.503,-0.400,-0.922,1.005,18.5229,0.06218
2245,1,425.492,121.406,424.778,120.477,-0.715,-0.930,1.173,18.3757,0.06565
2246,1,420.504,113.082,420.186,112.059,-0.319,-1.023,1.072,18.4378,0.07319
2247,1,415.537,108.552,415.078,107.821,-0.458,-0.730,0.862,18.3470,0.07897
2248,1,408.688,103.028,408.409,102.199,-0.279,-0.828,0.874,18.2066,0.08492
2249,1,398.698,96.279,397.920,95.268,-0.778,-1.011,1.275,17.7070,0.09099
2250,1,387.202,88.714,386.121,87.816,-1.081,-0.897,1.405,17.1652,0.09784
2251,1,374.732,82.702,374.639,83.000,-0.092,0.299,0.313,0.7753,0.00747
2252,1,363.079,78.490,363.061,78.645,-0.018,0.155,0.156,1.3983,0.01512
2253,1,352.346,75.839,352.566,76.244,0.219,0.405,0.460,1.8041,0.02289
2254,1,340.649,74.874,341.075,75.502,0.426,0.628,0.759,2.2202,0.03081
2255,1,327.136,73.454,327.314,73.850,0.178,0.397,0.435,2.8618,0.03886
2256,1,311.433,69.993,311.580,70.338,0.147,0.344,0.374,3.7299,0.04726
2257,1,294.443,67.478,294.528,67.664,0.086,0.186,0.204,4.7218,0.05589
2258,1,277.142,64.766,277.022,65.211,-0.120,0.444,0.460,5.7329,0.06470
2259,1,261.047,62.529,261.103,62.734,0.056,0.205,0.212,6.5568,0.07355
2260,1,244.416,62.485,244.506,63.057,0.090,0.572,0.579,7.4282,0.08213
2261,1,229.179,62.819,229.393,63.455,0.215,0.636,0.672,8.1426,0.09045
2262,1,215.571,64.337,216.201,64.537,0.630,0.199,0.661,8.6909,0.09838
2263,1,203.317,67.250,204.061,67.992,0.744,0.743,1.051,9.1916,0.10576
2264,1,195.019,68.905,195.980,69.539,0.961,0.634,1.151,9.5390,0.11054
2265,1,177.424,70.616,178.014,70.792,0.590,0.176,0.616,10.4249,0.11963
2266,1,161.258,73.651,161.998,74.121,0.740,0.470,0.877,11.1741,0.12810
2267,1,154.479,76.003,155.398,76.530,0.919,0.527,1.060,11.4522,0.13197
2268,1,143.881,83.829,145.366,84.755,1.485,0.925,1.750,11.7855,0.13933
2269,1,136.556,88.595,138.001,89.294,1.445,0.699,1.605,11.9784,0.14499
2270,1,127.592,93.684,129.062,94.087,1.470,0.403,1.524,12.3545,0.15042
2271,1,117.383,99.495,118.370,99.873,0.987,0.378,1.057,12.9625,0.15553
2272,1,108.772,105.525,110.185,105.859,1.413,0.334,1.452,13.3539,0.16060
2273,1,101.625,113.424,103.368,114.170,1.743,0.746,1.895,13.7146,0.16534
2274,1,94.961,120.959,96.537,121.350,1.575,0.391,1.623,14.0938,0.16966
2275,1,89.051,128.794,90.914,129.449,1.863,0.655,1.975,14.4410,0.17358
2276,1,83.329,137.339,85.012,137.916,1.683,0.577,1.779,14.8551,0.17716
2277,1,80.189,145.670,81.888,145.757,1.699,0.087,1.701,15.0371,0.18039
2278,1,80.247,156.641,82.243,156.823,1.997,0.181,2.005,15.0771,0.18315
2279,1,80.940,172.661,83.047,173.321,2.107,0.660,2.208,15.2943,0.18613
2280,1,81.341,179.621,83.219,179.998,1.879,0.377,1.916,15.4173,0.18730
2281,1,82.354,194.580,84.068,194.782,1.714,0.202,1.726,15.7161,0.18962
2282,1,86.235,209.604,87.928,210.206,1.692,0.602,1.796,15.8506,0.19178
2283,1,90.655,222.705,92.440,222.854,1.785,0.149,1.791,15.9078,0.19342
2284,1,96.522,236.232,98.066,236.674,1.545,0.442,1.606,16.0166,0.19478
2285,1,99.922,245.522,101.909,245.365,1.986,-0.157,1.993,16.1359,0.19524
2286,1,103.269,258.756,104.625,259.377,1.356,0.622,1.492,16.6634,0.19604
2287,1,105.232,264.794,106.558,264.741,1.326,-0.053,1.327,16.7768,0.19660
2288,1,114.447,279.812,115.618,279.800,1.170,-0.012,1.170,16.8427,0.19820
2289,1,121.561,288.280,122.936,288.479,1.375,0.198,1.389,16.8277,0.19847
2290,1,129.795,296.411,131.519,296.276,1.724,-0.135,1.729,16.7194,0.19844
2291,1,134.565,301.321,136.084,301.751,1.519,0.430,1.578,16.8369,0.19781
2292,1,139.606,303.908,140.849,303.665,1.243,-0.243,1.266,16.7107,0.19716
2293,1,145.413,308.541,146.604,308.353,1.191,-0.188,1.206,16.7364,0.19624
2294,1,156.571,314.642,157.635,314.646,1.064,0.003,1.064,16.5611,0.19479
2295,1,163.500,318.321,164.549,317.600,1.049,-0.721,1.273,16.4100,0.19374
2296,1,177.908,325.790,179.266,325.456,1.358,-0.333,1.398,16.2265,0.19186
2297,1,188.090,331.633,189.260,332.375,1.170,0.742,1.386,16.3667,0.18979
2298,1,195.206,331.668,196.214,331.911,1.007,0.243,1.036,16.0960,0.18771
2299,1,205.646,333.039,206.506,333.207,0.860,0.167,0.876,15.9607,0.18411
2300,1,217.772,334.677,218.601,334.486,0.829,-0.191,0.850,15.7049,0.18065
2301,1,224.897,336.614,225.366,336.316,0.469,-0.298,0.555,15.6576,0.17879
2302,1,236.569,340.868,237.209,340.984,0.640,0.116,0.651,15.6971,0.17604
2303,1,256.012,344.457,256.901,344.685,0.889,0.229,0.918,15.4240,0.17203
2304,1,268.212,344.640,268.971,344.561,0.758,-0.079,0.762,15.0516,0.16966
2305,1,276.614,345.741,277.346,345.568,0.732,-0.173,0.752,14.9355,0.16811
2306,1,289.571,346.599,290.035,346.767,0.464,0.168,0.493,14.7358,0.16617
2307,1,299.485,347.052,300.242,346.881,0.757,-0.171,0.776,14.5148,0.16481
2308,1,308.577,348.725,309.020,348.877,0.443,0.151,0.468,14.5826,0.16346
2309,1,322.760,348.880,323.401,348.983,0.642,0.103,0.650,14.3534,0.16157
2310,1,333.008,349.534,333.445,349.422,0.438,-0.112,0.452,14.2743,0.16035
2311,1,343.376,349.919,343.654,350.118,0.278,0.199,0.341,14.2265,0.15926
2312,1,356.389,348.445,356.922,348.358,0.533,-0.088,0.540,13.9004,0.15817
2313,1,365.410,348.415,365.819,348.100,0.409,-0.315,0.516,13.8651,0.15702
2314,1,377.454,347.513,378.022,347.376,0.567,-0.137,0.584,13.8444,0.15545
2315,1,385.657,346.557,386.305,346.399,0.648,-0.158,0.667,13.8027,0.15453
2316,1,392.831,346.809,393.508,346.966,0.677,0.157,0.695,13.9456,0.15372
2317,1,400.035,346.361,400.388,346.248,0.352,-0.113,0.370,13.9402,0.15314
2318,1,410.251,343.022,410.967,342.872,0.716,-0.150,0.731,13.7620,0.15199
2319,1,414.828,340.969,415.733,340.945,0.904,-0.023,0.904,13.6439,0.15132
2320,1,420.699,337.487,421.270,337.759,0.571,0.272,0.632,13.4747,0.14993
2321,1,425.545,334.134,426.196,333.927,0.651,-0.207,0.683,13.2398,0.14863
2322,1,429.617,331.299,430.205,331.361,0.589,0.063,0.592,13.1525,0.14709
2323,1,433.888,327.022,434.643,327.202,0.755,0.180,0.776,12.9589,0.14499
2324,1,438.866,319.515,439.647,319.464,0.781,-0.050,0.783,12.5479,0.14147
2325,1,441.584,313.278,442.289,313.256,0.705,-0.022,0.705,12.1737,0.13861
2326,1,442.774,308.639,443.548,308.717,0.774,0.078,0.778,11.8863,0.13651
2327,1,446.681,299.388,447.477,299.240,0.795,-0.148,0.809,11.3749,0.13189
2328,1,448.589,295.042,449.316,294.840,0.727,-0.203,0.754,11.1548,0.12961
2329,1,451.498,287.461,451.962,287.237,0.464,-0.223,0.515,10.7813,0.12528
2330,1,453.065,282.409,453.854,282.172,0.789,-0.237,0.824,10.5770,0.12211
2331,1,453.552,279.431,454.367,279.170,0.815,-0.261,0.855,10.4506,0.12011
2332,1,454.419,269.420,455.072,269.273,0.653,-0.147,0.670,9.9874,0.11419
2333,1,453.608,259.739,454.397,259.445,0.789,-0.294,0.842,9.4484,0.10888
2334,1,451.530,253.561,452.039,253.281,0.509,-0.279,0.581,9.1296,0.10464
2335,1,449.478,247.752,450.107,247.906,0.630,0.154,0.648,8.8905,0.10062
2336,1,446.703,241.596,447.821,241.534,1.118,-0.062,1.120,8.5349,0.09652
2337,1,443.444,235.491,444.047,235.348,0.604,-0.143,0.620,8.1761,0.09208
2338,1,442.149,233.412,442.728,233.542,0.578,0.131,0.593,8.0923,0.09048
2339,1,438.169,225.914,438.910,225.824,0.740,-0.090,0.746,7.6256,0.08541
2340,1,428.585,213.559,429.197,213.525,0.611,-0.034,0.612,6.8600,0.07639
2341,1,421.759,206.463,422.576,206.250,0.816,-0.213,0.844,6.3625,0.07140
2342,1,412.736,197.852,413.292,197.634,0.556,-0.218,0.597,5.7039,0.06564
2343,1,408.525,194.632,409.020,194.860,0.495,0.228,0.545,5.5713,0.06286
2344,1,400.499,187.560,400.970,187.531,0.472,-0.029,0.473,5.1425,0.05748
2345,1,396.744,184.151,397.414,184.184,0.670,0.033,0.671,4.9989,0.05480
2346,1,388.984,177.679,389.638,177.781,0.654,0.101,0.662,4.7258,0.05018
2347,1,382.289,174.264,382.806,174.416,0.517,0.151,0.539,4.5980,0.04773
2348,1,377.034,172.389,377.536,172.460,0.502,0.071,0.507,4.5237,0.04650
2349,1,365.497,170.595,366.074,170.503,0.576,-0.093,0.584,4.5780,0.04560
2350,1,358.203,171.724,358.566,172.021,0.364,0.297,0.470,4.8790,0.04645
2351,1,337.369,173.059,337.811,173.574,0.442,0.514,0.678,5.5066,0.05196
2352,1,315.563,172.580,315.746,172.752,0.183,0.172,0.251,6.1657,0.05954
2353,1,298.374,173.269,298.269,173.344,-0.105,0.075,0.129,6.9888,0.06595
2354,1,264.070,173.555,263.712,173.497,-0.359,-0.058,0.363,8.5502,0.08104
2355,1,248.748,175.260,248.896,175.436,0.147,0.176,0.230,9.2668,0.08915
