frame,id,green_x,green_y,red_x,red_y,dx,dy,dist,baseline_deg,baseline_m
4629,0,281.534,241.827,282.022,241.874,0.487,0.047,0.490,7.7028,0.08201
4629,1,340.525,244.951,341.430,244.536,0.906,-0.415,0.996,7.7028,0.08201
4630,0,281.427,242.070,281.905,241.954,0.478,-0.116,0.492,7.6889,0.08198
4630,1,340.302,245.196,341.313,244.613,1.011,-0.584,1.167,7.6889,0.08198
4631,0,281.144,242.510,281.734,242.276,0.590,-0.234,0.635,7.6713,0.08196
4631,1,340.065,245.521,341.143,244.936,1.078,-0.586,1.227,7.6713,0.08196
4632,0,280.950,241.631,281.618,241.555,0.668,-0.076,0.672,7.6628,0.08203
4632,1,339.773,244.657,341.028,244.232,1.254,-0.425,1.324,7.6628,0.08203
4633,0,281.194,241.280,281.778,241.086,0.584,-0.194,0.616,7.6827,0.08201
4633,1,340.265,244.257,341.185,243.756,0.920,-0.501,1.047,7.6827,0.08201
4634,0,281.553,241.546,281.990,241.467,0.437,-0.080,0.444,7.7155,0.08197
4634,1,340.549,244.530,341.391,244.144,0.842,-0.386,0.927,7.7155,0.08197
4635,0,281.481,241.613,281.872,241.565,0.391,-0.048,0.394,7.7065,0.08206
4635,1,340.299,244.665,341.277,244.266,0.978,-0.399,1.056,7.7065,0.08206
4636,0,281.367,241.496,281.802,241.397,0.436,-0.099,0.447,7.6985,0.08209
4636,1,340.280,244.528,341.210,244.103,0.929,-0.425,1.022,7.6985,0.08209
4637,0,281.067,241.400,281.701,241.224,0.634,-0.176,0.658,7.6794,0.08218
4637,1,340.084,244.413,341.117,243.875,1.033,-0.538,1.165,7.6794,0.08218
4638,0,280.979,241.579,281.611,241.473,0.632,-0.106,0.641,7.6667,0.08220
4638,1,339.880,244.608,341.031,244.087,1.152,-0.521,1.264,7.6667,0.08220
4639,0,280.933,240.960,281.581,240.985,0.648,0.025,0.648,7.6644,0.08243
4639,1,339.859,244.153,341.014,243.600,1.155,-0.554,1.281,7.6644,0.08243
4640,0,280.905,240.922,281.529,240.953,0.624,0.031,0.624,7.6571,0.08253
4640,1,339.773,244.008,340.967,243.570,1.194,-0.438,1.271,7.6571,0.08253
4641,0,280.491,240.859,280.983,240.924,0.492,0.065,0.496,7.5937,0.08281
4641,1,339.477,243.875,340.438,243.548,0.961,-0.327,1.015,7.5937,0.08281
4642,0,279.884,240.726,280.623,240.706,0.739,-0.020,0.739,7.5522,0.08295
4642,1,338.967,243.685,340.088,243.329,1.121,-0.357,1.177,7.5522,0.08295
4643,0,279.728,240.707,280.512,240.710,0.784,0.003,0.784,7.5466,0.08305
4643,1,338.916,243.666,339.979,243.377,1.063,-0.289,1.101,7.5466,0.08305
4644,0,279.499,240.564,280.051,240.318,0.552,-0.246,0.605,7.4993,0.08326
4644,1,338.628,243.501,339.532,243.032,0.904,-0.469,1.018,7.4993,0.08326
4645,0,279.468,240.249,280.016,240.047,0.548,-0.202,0.584,7.4964,0.08333
4645,1,338.647,243.352,339.501,242.758,0.855,-0.594,1.041,7.4964,0.08333
4646,0,279.445,239.270,279.995,239.181,0.549,-0.089,0.557,7.4948,0.08354
4646,1,338.668,242.428,339.491,241.865,0.824,-0.564,0.998,7.4948,0.08354
4647,0,279.515,239.197,280.090,239.073,0.575,-0.123,0.588,7.5052,0.08365
4647,1,338.610,242.246,339.591,241.753,0.981,-0.494,1.098,7.5052,0.08365
4648,0,279.643,240.061,280.209,239.951,0.566,-0.110,0.576,7.5237,0.08406
4648,1,338.702,243.305,339.727,242.656,1.025,-0.649,1.213,7.5237,0.08406
4649,0,279.656,240.362,280.253,240.125,0.597,-0.237,0.642,7.5329,0.08422
4649,1,338.786,243.449,339.777,242.850,0.991,-0.599,1.158,7.5329,0.08422
4650,0,279.692,239.724,280.400,239.762,0.708,0.038,0.709,7.5592,0.08449
4650,1,338.932,243.098,339.933,242.542,1.001,-0.556,1.145,7.5592,0.08449
4651,0,279.946,238.808,280.542,238.876,0.596,0.068,0.600,7.5821,0.08466
4651,1,339.203,242.213,340.080,241.701,0.876,-0.511,1.014,7.5821,0.08466
4652,0,280.239,238.535,280.728,238.516,0.489,-0.019,0.490,7.5986,0.08478
4652,1,339.525,241.588,340.273,241.346,0.748,-0.241,0.786,7.5986,0.08478
4653,0,280.332,238.695,280.790,238.675,0.458,-0.020,0.458,7.6017,0.08494
4653,1,339.481,241.811,340.346,241.472,0.865,-0.339,0.929,7.6017,0.08494
4654,0,280.279,238.496,280.768,238.309,0.489,-0.186,0.523,7.5979,0.08498
4654,1,339.492,241.507,340.329,241.076,0.837,-0.431,0.941,7.5979,0.08498
4655,0,280.206,238.140,280.738,238.056,0.532,-0.084,0.539,7.5949,0.08499
4655,1,339.493,241.292,340.301,240.811,0.807,-0.481,0.940,7.5949,0.08499
4656,0,280.013,237.601,280.677,237.533,0.664,-0.068,0.667,7.5839,0.08502
4656,1,339.325,240.679,340.245,240.283,0.920,-0.395,1.001,7.5839,0.08502
4657,0,279.928,237.596,280.645,237.473,0.717,-0.123,0.727,7.5822,0.08505
4657,1,339.188,240.616,340.214,240.231,1.026,-0.385,1.096,7.5822,0.08505
4658,0,280.039,237.565,280.673,237.412,0.634,-0.153,0.653,7.5885,0.08511
4658,1,339.328,240.547,340.244,240.167,0.915,-0.380,0.991,7.5885,0.08511
4659,0,280.037,237.629,280.681,237.667,0.644,0.038,0.645,7.5924,0.08518
4659,1,339.385,240.733,340.251,240.415,0.867,-0.318,0.923,7.5924,0.08518
4660,0,280.083,237.966,280.688,237.972,0.605,0.007,0.605,7.5948,0.08534
4660,1,339.366,241.274,340.265,240.725,0.899,-0.548,1.053,7.5948,0.08534
4661,0,279.859,238.533,280.584,238.272,0.725,-0.262,0.771,7.5869,0.08551
4661,1,339.101,241.513,340.167,241.041,1.066,-0.472,1.166,7.5869,0.08551
4662,0,279.674,237.606,280.234,237.528,0.560,-0.078,0.565,7.5532,0.08539
4662,1,338.679,240.725,339.812,240.317,1.133,-0.408,1.204,7.5532,0.08539
4663,0,279.494,237.156,280.080,237.151,0.586,-0.004,0.586,7.5348,0.08523
4663,1,338.596,240.507,339.653,239.942,1.057,-0.564,1.199,7.5348,0.08523
4664,0,279.457,237.322,279.966,237.240,0.508,-0.082,0.515,7.5183,0.08515
4664,1,338.642,240.470,339.538,239.999,0.896,-0.471,1.012,7.5183,0.08515
